Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"C1	",,"0603-C	","1256.9mil	","861.3mil	","1256.9mil	","861.3mil	","1290.3mil	","861.3mil	","T	","180	","Yes	","22p	"
"C10	",,"0603-C	","357.9mil	","1102.9mil	","357.9mil	","1102.9mil	","324.4mil	","1102.9mil	","T	","0	","Yes	","100n	"
"C11	",,"0603-C	","563.7mil	","1018.3mil	","563.7mil	","1018.3mil	","563.7mil	","984.9mil	","T	","90	","Yes	","100n	"
"C12	",,"0603-C	","554.5mil	","1324.3mil	","554.5mil	","1324.3mil	","554.5mil	","1290.8mil	","T	","90	","Yes	","100n	"
"C13	",,"0603-C	","358.7mil	","1415mil	","358.7mil	","1415mil	","325.3mil	","1415mil	","T	","0	","Yes	","100n	"
"C14	",,"0603-C	","264.3mil	","801mil	","264.3mil	","801mil	","230.9mil	","801mil	","T	","0	","Yes	","100n	"
"C15	",,"0603-C	","432mil	","80.1mil	","432mil	","80.1mil	","432mil	","113.6mil	","T	","270	","Yes	","2.2u	"
"C16	",,"0603-C	","986mil	","552.6mil	","986mil	","552.6mil	","986mil	","586mil	","T	","270	","Yes	","2.2u	"
"C2	",,"0603-C	","1256.3mil	","1122.4mil	","1256.3mil	","1122.4mil	","1222.8mil	","1122.4mil	","T	","0	","Yes	","22p	"
"C3	",,"0603-C	","727mil	","1377mil	","727mil	","1377mil	","760.5mil	","1377mil	","T	","180	","Yes	","4.7u	"
"C4	",,"0603-C	","664.5mil	","737.1mil	","664.5mil	","737.1mil	","664.5mil	","770.6mil	","T	","270	","Yes	","4.7u	"
"C5	",,"0603-C	","1173.3mil	","730.8mil	","1173.3mil	","730.8mil	","1173.3mil	","764.3mil	","T	","270	","Yes	","100n	"
"C6	",,"0603-C	","727.4mil	","1294.3mil	","727.4mil	","1294.3mil	","760.9mil	","1294.3mil	","T	","180	","Yes	","100n	"
"C7	",,"0603-C	","1095mil	","1378.4mil	","1095mil	","1378.4mil	","1061.5mil	","1378.4mil	","T	","0	","Yes	","100n	"
"C8	",,"0603-C	","1095.6mil	","1296.3mil	","1095.6mil	","1296.3mil	","1062.1mil	","1296.3mil	","T	","0	","Yes	","100n	"
"C9	",,"0603-C	","450.1mil	","710.2mil	","450.1mil	","710.2mil	","450.1mil	","676.8mil	","T	","90	","Yes	","100n	"
"D1	","diode_BAS40_	","SOT23	","497.4mil	","389.2mil	","497.4mil	","389.2mil	","540.7mil	","351.8mil	","T	","90	","Yes	","BAS40	"
